UserLanguage,SQ 1 ,SQ 2,SQ 3,SQ 3_16_TEXT,SQ 4 ,SQ 5,Q 1.3,Q 1.4_1,Q 1.4_2,Q 1.4_3,Q 1.4_4,Q 1.4_5,Q 1.4_5_TEXT,Q 1.5,Q 2.1,Q 2.1_1_TEXT,Q 2.1_2_TEXT,Q 2.1_3_TEXT,Q 2.1_4_TEXT,Q 2.2,Q 2.3,Q 2.4,Q 2.5,Q 2.6,Q 2.6_1_TEXT,Q 2.6_2_TEXT,Q 3.2,Q 3.3,Q 3.4,Q 3.4_4_TEXT,Q 3.5,Q 3.5_12_TEXT,Q 3.6,Q 3.6_5_TEXT,Q 3.7,Q 4.1,Q 4.2,Q 4.3,Q 4.3_6_TEXT,Q 4.4,Q 4.4_12_TEXT,Q 4.5,Q 4.5_10_TEXT,Q 4.6,Q 4.7,Q 4.8,Q 4.9_1,Q 4.9_2,Q 4.9_3,Q 4.9_4,Q 4.9_5,Q 4.9_6,Q 4.9_7,Q 4.9_7_TEXT,Q 4.10,Q 4.10_5_TEXT,Q 4.11_1,Q 4.11_2,Q 4.12,Q 4.13,Q 4.13_10_TEXT,Q 4.14,Q 4.14_6_TEXT,Q 4.15,Q 4.15_8_TEXT,,,,,,,,psid
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Craft breweries and microbreweries,,Experienced: Professional or Non-Management,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Civil Service / Local Government / Government/ Social Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Full-service restaurants,,Owner / Partner,Yes,3–5 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)",,,Yes,Maximum capacity in number of persons,60,,,,10-20 persons,"€500,000 – €1 million","More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",06:00,23:00,Every day,Yes,Carefully curated or planned to match the atmosphere and customer experience,,"Pop,Classical / Opera,Jazz,Folk",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.),Radio (FM, AM or internet radio) or TV",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Stay-at-Home Parent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Transportation / Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Computer / Communications and Information / Internet / Web Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Computer / Communications and Information / Internet / Web Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Homemaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Homemaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Full-service restaurants,,Front Line Management,Yes,1–3 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,Yes,Maximum capacity in number of persons,150,,,,5-10 persons,"€500,000 – €1 million","100,001 to 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday","Opening time,Closing time",07:00,20:00,Every day,Yes,Carefully curated or planned to match the atmosphere and customer experience,,"R&B,Jazz",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.),Purchased music (CDs, digital downloads, etc.),Radio (FM, AM or internet radio) or TV",,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Manufacturing / automotive / Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Transportation / Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,"Contract, Freelance or Temporary Employee",Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Construction / Building Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Full-service restaurants,,Front Line Management,Yes,1–3 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,,No,Maximum capacity in number of persons,20,,,,1 person,"€250,000 – €500,000","More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Opening time,,,Every day,Yes,A mix of both,,"Rock,Hip-Hop / Rap,Jazz,Folk",,"Purchased music (CDs, digital downloads, etc.)",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Transportation / Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),"Banking / Financial Services/ Insurance/ Business Services (Staffing, Printing) / Consulting / PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Aerospace / Aviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Transportation / Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Part-time Student (working LESS than 30 hours per week),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Fast food and quick-service restaurants,,Front Line Management,Yes,1–3 years,"Low autonomy (Commis Chef, Dishwasher, Housekeeper)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,No,Number of tables,,30,,,10-20 persons,"€250,000 – €500,000","More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Opening time,11,,Most days,No,Randomly selected or played by chance,,"Pop,R&B,Jazz",,"Radio (FM, AM or internet radio) or TV",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Construction / Building Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Agriculture / Fishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,"Contract, Freelance or Temporary Employee",Entertainment / Leisure / Recreation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Transportation / Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,"Contract, Freelance or Temporary Employee",Transportation / Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Computer / Communications and Information / Internet / Web Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Construction / Building Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Armed Services /Defense / Military Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Part-time,Agriculture / Fishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Advertising / Telesales / Telemarketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Fashion / Luxury Goods / Cosmetic Products /Film / TV / Radio / Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Civil Service / Local Government / Government/ Social Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Construction / Building Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Full-time (30 or more hours per week),Market Research / Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Bars, pubs, and cocktail lounges",,Owner / Partner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Part-time Student (working LESS than 30 hours per week),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Stay-at-Home Parent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Entertainment / Leisure / Recreation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,"Contract, Freelance or Temporary Employee",Education / Training / Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,"Contract, Freelance or Temporary Employee",Fashion / Luxury Goods / Cosmetic Products /Film / TV / Radio / Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Healthcare / Medical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Retail / Wholesale Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),"Banking / Financial Services/ Insurance/ Business Services (Staffing, Printing) / Consulting / PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,"Contract, Freelance or Temporary Employee",Education / Training / Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Fast food and quick-service restaurants,,Experienced: Professional or Non-Management,Yes,Less than 6 months,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,Yes,Number of tables,,9,,,4 persons,I do not know,"More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",12,21,Every day,No,A mix of both,,"Pop,Hip-Hop / Rap,R&B",,"Radio (FM, AM or internet radio) or TV",,I’m not sure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Full-service restaurants,Fast food and quick-service restaurants",,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Agriculture / Fishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Law / Legal Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Transportation / Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Advertising / Telesales / Telemarketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Coffee shops and tea houses,Street food vendors and food trucks,Wine bars and tasting rooms",,Middle Management (Director / Divisional / Department Head),Yes,More than 5 years,,,,,,Sklep,No,Maximum capacity in number of persons,200,,,,10-20 persons,I do not know,"More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday","Opening time,Closing time",6,23,Every day,Yes,A mix of both,,Pop,,"Purchased music (CDs, digital downloads, etc.)",,I’m not sure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Full-service restaurants,Coffee shops and tea houses",,Senior Management (CEO / VP / Managing Director),Yes,3–5 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,,I do not know,Maximum capacity in number of persons,200 osób ,,,,4 persons,"€250,000 – €500,000","100,001 to 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",10,18,Every day,Yes,Carefully curated or planned to match the atmosphere and customer experience,,Folk,,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Part-time Student (working LESS than 30 hours per week),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Stay-at-Home Parent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),"Banking / Financial Services/ Insurance/ Business Services (Staffing, Printing) / Consulting / PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Armed Services /Defense / Military Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Part-time,Construction / Building Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Transportation / Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Fast food and quick-service restaurants,,Front Line Management,Yes,1–3 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,Yes,Maximum capacity in number of persons,30,,,,5-10 persons,"€250,000 – €500,000","20,001 to 100,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",10,22,Every day,Yes,Carefully curated or planned to match the atmosphere and customer experience,,Classical / Opera,,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,Yes,Yes,1-2 times a month,Classical ensembles,,Classical / Opera,,Up to 50 people,,Increased,,Increased by 0% to 25%,,,,,,,,,Paid by the guests (ticket/entry),,30,50,Increases slightly,Enhancing customer experience,,"Ticket sales,Increased food and beverage sales,Merchandise sales",,"High artist fees,High costs beside artists fees",,,,,,,,,
PL,Full-time (30 or more hours per week),Computer / Communications and Information / Internet / Web Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Part-time,Travel / Tourism / Hospitality,"Hotels and similar accommodation,Full-service restaurants,Catering for corporate events, weddings, and parties",,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Agriculture / Fishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Agriculture / Fishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Bars, pubs, and cocktail lounges",,Owner / Partner,Yes,1–3 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,,No,Number of tables,,40,,,10-20 persons,€1 million – €5 million,"More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday","Opening time,Closing time",12:00,03:00,Every day,No,A mix of both,,"Pop,Dance / Electronic,Experimental",,"Licensed music providers (e.g., Soundtrack Your Brand, Mood Media, etc.)",,Yes,Yes,1-2 times a week,"Solo artists,DJ sessions",,"Pop,Hip-Hop / Rap,Dance / Electronic",,51–100 people,,Increased,,Increased by 25% to 50%,,,,,,,,,Paid by the guests (ticket/entry),,50,250,Increases significantly,Increasing revenue,,"Ticket sales,Increased food and beverage sales",,"High artist fees,Noise complaints from neighbours or authorities",,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Full-service restaurants,Catering for corporate events, weddings, and parties",,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Self-employed,Construction / Building Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Self-employed,Transportation / Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Transportation / Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Manufacturing / automotive / Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,"Contract, Freelance or Temporary Employee",Manufacturing / automotive / Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Full-service restaurants,Fast food and quick-service restaurants,Bars, pubs, and cocktail lounges",,Experienced: Professional or Non-Management,Yes,3–5 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,,,,No,Number of tables,,9,,,5-10 persons,"€500,000 – €1 million","20,001 to 100,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday","Opening time,Closing time",10,16,Every day,Yes,A mix of both,,"Pop,Hip-Hop / Rap,R&B",,"Licensed music providers (e.g., Soundtrack Your Brand, Mood Media, etc.)",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Manufacturing / automotive / Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Full-time (30 or more hours per week),Computer / Communications and Information / Internet / Web Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Advertising / Telesales / Telemarketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Part-time,Food / Beverage / Restaurant,Fast food and quick-service restaurants,,Front Line Management,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Resort and destination dining,,Experienced: Professional or Non-Management,Yes,Less than 6 months,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Full-time Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Full-time (30 or more hours per week),None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Self-employed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Part-time,Food / Beverage / Restaurant,Coffee shops and tea houses,,Experienced: Professional or Non-Management,Yes,More than 5 years,,,,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Full-time (30 or more hours per week),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,"Contract, Freelance or Temporary Employee","Banking / Financial Services/ Insurance/ Business Services (Staffing, Printing) / Consulting / PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
